,Dynamic,60_40,EqualWeight
2016-04-18,-0.021181682572683824,0.0,-5.4780674109911054e-05
2016-04-19,-0.020141797889984492,0.0,0.0
2016-04-20,-0.021933932363552233,-0.003853336177086386,-0.003367900056206241
2016-04-21,-0.022337584975564262,-0.00945380600140977,-0.004924403967343172
2016-04-22,-0.030355652728761284,-0.01047100454746297,-0.010192712985208852
2016-04-25,-0.030304986296261327,-0.013132302507226634,-0.010904445576500832
2016-04-26,-0.03145520099994237,-0.01404828017580706,-0.011945227088125954
2016-04-27,-0.03206399230458501,-0.008915357328358464,-0.00980662561743062
2016-04-28,-0.03304400343758229,-0.012705424158671152,-0.00888033911644781
2016-04-29,-0.031901698215766605,-0.014903515222675523,-0.007043923042840183
2016-05-02,-0.029501657842874618,-0.01421152136820203,-0.00694141633164147
2016-05-03,-0.03300335447380731,-0.014445863790626179,-0.007081044685211091
2016-05-04,-0.037148961818447734,-0.015597304562323666,-0.00890100510843228
2016-05-05,-0.03698250115392976,-0.013088921930112019,-0.007562606373903047
2016-05-06,-0.03277769586985413,-0.012617155997035834,-0.005717985927378488
2016-05-09,-0.0372202998640071,-0.010888436134132262,-0.007636916291313023
2016-05-10,-0.030485487945816514,-0.003524711051661189,-0.0028702318248449155
2016-05-11,-0.03168331901810251,-0.006896365583481834,-0.003248353006855109
2016-05-12,-0.0358643012473413,-0.008538705559790083,-0.006554374186364731
2016-05-13,-0.03615341556939222,-0.009919382639447694,-0.005619659796303189
2016-05-16,-0.03147268727997243,-0.0075152240781353186,-0.003920611842449628
2016-05-17,-0.03609586565114997,-0.012433853167101216,-0.00700749080452856
2016-05-18,-0.04167729463640524,-0.017924211062544382,-0.013265540643350171
2016-05-19,-0.044094412515676806,-0.01827425692477902,-0.014094554874005683
2016-05-20,-0.04005013577702754,-0.0142631031600704,-0.011189899978687357
2016-05-23,-0.04131007442531798,-0.014192003308702517,-0.01164755107132831
2016-05-24,-0.03860826818193641,-0.00833165175600914,-0.01026167723925886
2016-05-25,-0.03628426518009398,-0.005808776811413896,-0.009016652443545103
2016-05-26,-0.035610543549219,-0.003583740013687109,-0.0075894057622512
2016-05-27,-0.0361354684143933,-0.0016016087606088858,-0.008045089929140214
2016-05-31,-0.03448296395301631,-0.00179012642888432,-0.006748975566388649
2016-06-01,-0.03470164854085367,0.0,-0.006067050065606705
2016-06-02,-0.03395222706685208,0.0,-0.0037651202371709047
2016-06-03,-0.02330561699323941,0.0,0.0
2016-06-06,-0.022184692322120614,0.0,-0.0002121527103369214
2016-06-07,-0.02253601786943349,0.0,0.0
2016-06-08,-0.015890241256024007,0.0,0.0
2016-06-09,-0.014035682852364229,0.0,0.0
2016-06-10,-0.01581039626994274,-0.003780079389821722,-0.001328449413919186
2016-06-13,-0.015699415450300958,-0.006637311706151117,-0.0016804303225738115
2016-06-14,-0.01565280222366916,-0.008104449908337252,-0.0019799342674406972
2016-06-15,-0.013065703236809112,-0.007412571572604443,-0.00012221689528091328
2016-06-16,-0.01566836833160412,-0.0037128829632104843,-3.6617270610106445e-06
2016-06-17,-0.01495177085916577,-0.008433294976727068,-0.0020538046245743846
2016-06-20,-0.015768262451687165,-0.008877936301439515,-0.003540727445749181
2016-06-21,-0.02243006654911972,-0.00902863655342745,-0.007029725916022023
2016-06-22,-0.022605350506789468,-0.009346721323454488,-0.006959701249648842
2016-06-23,-0.020939367982179324,-0.006214866798332164,-0.006311838582599427
2016-06-24,-0.015096912197794299,-0.017489228799031586,-0.004355147101644641
2016-06-27,-0.018478021407469347,-0.018451027045772617,-0.004169827517445879
2016-06-28,-0.014865376492531723,-0.007106621047425876,0.0
2016-06-29,-0.0076129252024909055,-0.00010692696365965926,0.0
2016-06-30,-0.0004735892683396248,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-07-05,-0.0005189435833367062,0.0,0.0
2016-07-06,0.0,0.0,0.0
2016-07-07,0.0,-0.00040004591086795216,-0.0005497574640643821
2016-07-08,0.0,0.0,0.0
2016-07-11,-0.00028305014365159753,-0.00141288397257322,-0.0025681665906612805
2016-07-12,-0.0010554911603726236,-0.003697592426418539,-0.007103443039068735
2016-07-13,-0.0001689634364036019,0.0,-0.0036084952848902674
2016-07-14,0.0,-0.002519038090115777,-0.006062430172821598
2016-07-15,-0.0024344813500695173,-0.0067672644528562476,-0.009333461220465189
2016-07-18,0.0,-0.005541523874132426,-0.007643434414137729
2016-07-19,-0.00035134051822149903,-0.00391025282596924,-0.006801303429359362
2016-07-20,0.0,-0.003611627148406571,-0.007901182815697516
2016-07-21,0.0,-0.005067610259216315,-0.0055867190512204346
2016-07-22,0.0,-0.0017077500749568264,-0.005304431411027211
2016-07-25,-0.0013479000816413178,-0.003624120256316865,-0.007268759202944786
2016-07-26,-0.00028594833503381434,-0.002716744639303381,-0.0059208592717232555
2016-07-27,0.0,0.0,0.0
2016-07-28,0.0,-4.763765784232543e-05,0.0
2016-07-29,0.0,0.0,0.0
2016-08-01,0.0,-0.004858113738800407,-0.0014017671917520014
2016-08-02,-0.004439131468344182,-0.012818497604449974,-0.004575965915231128
2016-08-03,-0.0026982399066894924,-0.010861351374516048,-0.004131634158817898
2016-08-04,-0.0005934834685925594,-0.007268777844614216,-0.0014415429497420806
2016-08-05,0.0,-0.006567342609021587,-0.0045084983202045015
2016-08-08,-0.0007235558163881661,-0.006174657368823722,-0.004770695280257753
2016-08-09,0.0,-0.0019281103436982194,-0.0012995357316932798
2016-08-10,-0.00022654121205634148,-0.001871111496322575,-0.00019580837551991248
2016-08-11,0.0,-0.002674939362201534,-0.0023199934683929557
2016-08-12,0.0,0.0,-0.0005982024904158667
2016-08-15,0.0,-0.002059493313372518,-0.0009413558799487021
2016-08-16,-0.003305173868497824,-0.006221406156508014,-0.0026917633769767413
2016-08-17,-0.0018395941026602136,-0.0027236790262603616,-0.0007813433699745964
2016-08-18,-0.0006498158008643173,-0.000752684352802846,0.0
2016-08-19,-0.0023564497510983884,-0.0037281641583263303,-0.003361595842734766
2016-08-22,-0.0013160396562351684,-0.00040821578918970314,-0.0017029588553584274
2016-08-23,-0.0004072731249467054,0.0,-0.0009136535708700322
2016-08-24,-0.003698490089043993,-0.004020759380297778,-0.005200217633945292
2016-08-25,-0.004984125886149049,-0.0059465588404395975,-0.00668391289535708
2016-08-26,-0.006243601341382687,-0.009392152786379171,-0.008750959917174117
2016-08-29,-0.0035069353885178733,-0.0012091482113792962,-0.004413676168772196
2016-08-30,-0.004991654264192236,-0.003740018484499563,-0.007540269173798131
2016-08-31,-0.0062126472377354025,-0.004872108503215733,-0.008487763341817778
2016-09-01,-0.00468794951074003,-0.0044057191428037434,-0.006862067947659534
