,Return
2016-10-24,0.004872205387576693
2016-10-25,-0.0013925877897562637
2016-10-26,-0.005151184748658553
2016-10-27,-0.005227242748331777
2016-10-28,-0.0036205525160555993
2016-10-31,0.0009514638400401804
2016-11-01,-0.00445236193451267
2016-11-02,-0.003271455998341461
2016-11-03,-0.0058939713245290785
2016-11-04,-0.00022037199349570922
2016-11-07,0.011876933858428059
2016-11-08,0.0024026907784808144
2016-11-09,-0.003465419556014101
2016-11-10,-0.010476931978047792
2016-11-11,-0.0025679841597129015
2016-11-14,-0.0066967017283771696
2016-11-15,0.008686310408096639
2016-11-16,0.003235209963291579
2016-11-17,0.0015213527349736754
2016-11-18,-0.0038111689111509093
2016-11-21,0.006716423947498083
2016-11-22,0.0018636725347798528
2016-11-23,-0.004031406605731998
2016-11-25,0.0017824099605301842
2016-11-28,0.00037436331962152836
2016-11-29,0.002273798992901207
2016-11-30,-0.009748001918184103
2016-12-01,-0.009957149960480458
2016-12-02,0.002335648534744945
2016-12-05,0.004741566755969508
2016-12-06,0.0019652113692595155
2016-12-07,0.010255747590899884
2016-12-08,0.0004387743501149717
2016-12-09,0.003381943970254101
2016-12-12,-0.0020682133740646865
2016-12-13,0.0074443593424511675
2016-12-14,-0.005922935976752912
2016-12-15,0.0005334757321437461
2016-12-16,-0.0015987620482879198
2016-12-19,0.0037922329333101427
2016-12-20,0.0018662503098960468
2016-12-21,-0.0006987888029375766
2016-12-22,-0.0020051148270405716
2016-12-23,0.001111873877416028
2016-12-27,0.0030271431358745255
2016-12-28,-0.004842739348421445
2016-12-29,0.0007361200447388574
2016-12-30,-0.005431037975909857
2017-01-03,0.006691760774769286
2017-01-04,0.004848296276135974
2017-01-05,0.003477553896906682
2017-01-06,0.004396931160640612
2017-01-09,0.0009745676873030791
2017-01-10,0.0009340481751441918
2017-01-11,0.002468904022334231
2017-01-12,-0.0015033490567052203
2017-01-13,0.0020128723268484153
2017-01-17,-0.0016847993224521642
2017-01-18,0.0004285752903625573
2017-01-19,-0.002260114585624105
2017-01-20,0.0024323197035909113
2017-01-23,0.00036430913662181466
2017-01-24,0.004675159562666297
2017-01-25,0.006753585049141451
2017-01-26,0.00026118266356536086
