,Portfolio Value
2020-01-07,1656976.931737757
2020-01-08,1653211.2764869304
2020-01-09,1652006.4028279642
2020-01-10,1656976.7927277493
2020-01-13,1655610.403597736
2020-01-14,1652366.597842906
2020-01-15,1658850.5799430192
2020-01-16,1662694.0433984648
2020-01-17,1667556.2805330146
2020-01-21,1668479.9217948688
2020-01-22,1670390.4486276226
2020-01-23,1674706.4667814006
2020-01-24,1676097.409542653
2020-01-27,1671266.165949567
2020-01-28,1670442.611485945
2020-01-29,1677259.2426972399
2020-01-30,1679420.0689581835
2020-01-31,1676328.8412867843
2020-02-03,1682005.8747573684
2020-02-04,1689073.3093739846
2020-02-05,1693436.1975286338
2020-02-06,1702918.507513071
2020-02-07,1701929.8698374091
2020-02-10,1712901.2777750462
2020-02-11,1710609.9385260872
2020-02-12,1716775.8773125866
2020-02-13,1719667.2994348481
2020-02-14,1725059.1468626647
2020-02-18,1733408.6734043972
2020-02-19,1744100.9271959236
2020-02-20,1740823.630208423
2020-02-21,1737386.3764782497
2020-02-24,1713286.7988742993
2020-02-25,1678538.5330723664
2020-02-26,1683387.114987956
2020-02-27,1643902.080781251
2020-02-28,1622668.054895912
2020-03-02,1664407.5820947764
2020-03-03,1659280.7551835252
2020-03-04,1693648.9546174689
2020-03-05,1681859.6071562762
2020-03-06,1670429.330321284
2020-03-09,1611355.8982351911
2020-03-10,1636764.585509524
2020-03-11,1594608.2793422763
2020-03-12,1494328.9462475944
2020-03-13,1537257.4433973585
2020-03-16,1441860.3097601652
2020-03-17,1491425.8469704713
2020-03-18,1450104.782252162
2020-03-19,1444535.0165887706
2020-03-20,1427868.1111193744
2020-03-23,1447021.9686488626
2020-03-24,1526170.7841974462
2020-03-25,1518274.8984732511
2020-03-26,1565713.8715616937
2020-03-27,1537639.4590562447
2020-03-30,1567075.519890334
2020-03-31,1541396.0621420678
2020-04-01,1513352.2808981047
2020-04-02,1537825.1427709095
2020-04-03,1529599.3972260281
2020-04-06,1595078.024737457
2020-04-07,1591028.6389380286
2020-04-08,1605317.0296987614
2020-04-09,1624780.8936711266
2020-04-13,1637807.603387447
2020-04-14,1674166.3765494681
2020-04-15,1661250.6470951121
2020-04-16,1672720.5076211852
2020-04-17,1672828.4134685677
2020-04-20,1666215.6501108538
2020-04-21,1633288.362906525
2020-04-22,1665761.5381999612
2020-04-23,1670442.403146395
2020-04-24,1680604.3269665588
2020-04-27,1683655.6226831903
2020-04-28,1669752.0219097445
2020-04-29,1699687.1859905813
2020-04-30,1685568.522433502
2020-05-01,1665897.9071338268
2020-05-04,1675425.1207655177
2020-05-05,1686642.7919217898
2020-05-06,1679968.7000450024
2020-05-07,1701006.1858294136
2020-05-08,1708869.0233242854
2020-05-11,1709785.8020272932
2020-05-12,1695128.818705239
2020-05-13,1689324.446446854
2020-05-14,1704617.9688444957
2020-05-15,1712841.5323229742
2020-05-18,1725479.236488235
2020-05-19,1727817.6420548067
2020-05-20,1745637.5360098577
2020-05-21,1728333.3077363148
2020-05-22,1734968.2474267755
2020-05-26,1727134.0719264573
2020-05-27,1735551.8112563363
2020-05-28,1736075.7697034164
2020-05-29,1751361.512008531
2020-06-01,1756969.0845487826
2020-06-02,1758824.0881300014
2020-06-03,1752043.0220006509
2020-06-04,1752411.7833595215
2020-06-05,1757227.6685071886
2020-06-08,1772055.0067571115
2020-06-09,1781446.2723967638
2020-06-10,1798249.5679692775
2020-06-11,1746647.7366877643
2020-06-12,1754889.2000978277
2020-06-15,1763449.9114151758
2020-06-16,1778151.6780982872
2020-06-17,1780618.0702659385
2020-06-18,1781773.219413979
2020-06-19,1787070.6041583903
2020-06-22,1800027.4078983504
2020-06-23,1811800.3539919502
2020-06-24,1789870.1258588429
2020-06-25,1798334.5483751225
2020-06-26,1780342.8264716256
2020-06-29,1791597.597300811
2020-06-30,1809484.2889272405
2020-07-01,1813439.57414634
2020-07-02,1820023.680078294
2020-07-06,1839100.009583199
2020-07-07,1841756.0730889952
2020-07-08,1853449.177737988
2020-07-09,1860920.369151799
2020-07-10,1862765.5588308952
2020-07-13,1850405.0618760092
2020-07-14,1859156.4100000486
2020-07-15,1860620.3967294127
2020-07-16,1850945.2170220595
2020-07-17,1856706.1573941016
2020-07-20,1879267.1925058013
2020-07-21,1880832.4990251288
2020-07-22,1894204.2051054894
2020-07-23,1884383.4431748881
2020-07-24,1883117.2771496521
2020-07-27,1906953.2244104317
2020-07-28,1905652.4956682608
2020-07-29,1919168.1290035646
2020-07-30,1919245.5225847769
2020-07-31,1937702.7471130255
2020-08-03,1945981.897013472
2020-08-04,1966572.3542747989
2020-08-05,1971171.605800369
2020-08-06,1991339.669249388
2020-08-07,1969511.7350554455
2020-08-10,1962588.3743546908
2020-08-11,1907037.0042098118
2020-08-12,1917198.906171784
2020-08-13,1930773.9956923318
2020-08-14,1926099.464018349
2020-08-17,1949555.6074535472
2020-08-18,1964763.3640375854
2020-08-19,1935844.4614888427
2020-08-20,1953251.3019244133
2020-08-21,1954422.6756990778
2020-08-24,1953999.5788915793
2020-08-25,1957318.4825975262
2020-08-26,1978681.2170076314
2020-08-27,1962465.7327556824
2020-08-28,1978104.3384678152
2020-08-31,1987499.5955333863
2020-09-01,2003797.0514728455
2020-09-02,2005541.426046686
2020-09-03,1955725.3442772308
2020-09-04,1943662.9923205234
2020-09-08,1903604.6847434742
2020-09-09,1933347.5408746656
2020-09-10,1914285.5970763036
2020-09-11,1910281.0302193963
2020-09-14,1929725.6038122936
2020-09-15,1938443.439669886
2020-09-16,1928198.8027418356
2020-09-17,1912169.7671991212
2020-09-18,1901415.8343866786
2020-09-21,1887870.5799556728
2020-09-22,1898998.1081598124
2020-09-23,1858772.6925998963
2020-09-24,1865161.9603079648
2020-09-25,1882009.8655521662
2020-09-28,1905522.3074388988
2020-09-29,1907183.2012542144
2020-09-30,1908000.8239918402
2020-10-01,1923847.4368985952
2020-10-02,1903012.4163738675
2020-10-05,1916397.5369111793
2020-10-06,1897932.7762917231
2020-10-07,1909249.689200693
2020-10-08,1917702.5806131829
2020-10-09,1938175.0239292658
2020-10-12,1959547.9101737677
2020-10-13,1951492.6887162093
2020-10-14,1947153.952281837
2020-10-15,1944001.6240433143
2020-10-16,1937935.854390564
2020-10-19,1923658.7673812723
2020-10-20,1926067.8286238431
2020-10-21,1928181.9641055008
2020-10-22,1920953.6497543403
2020-10-23,1923763.737890948
2020-10-26,1912924.0331686789
2020-10-27,1920269.1588996544
2020-10-28,1880269.2287426302
2020-10-29,1887314.481920934
2020-10-30,1869444.3792927845
2020-11-02,1879119.7520635605
2020-11-03,1890391.5730702241
2020-11-04,1918094.8861391237
2020-11-05,1944490.1865931803
2020-11-06,1942286.702732147
2020-11-09,1905643.732438751
2020-11-10,1897987.1071224697
2020-11-11,1906925.286931355
2020-11-12,1911189.289223006
2020-11-13,1920287.9451839412
2020-11-16,1925232.6294497098
2020-11-17,1922915.9469658423
2020-11-18,1914709.3346714322
2020-11-19,1918870.5025075441
2020-11-20,1918440.8401901156
2020-11-23,1907481.9528604099
2020-11-24,1905845.3620235778
2020-11-25,1907394.032609171
2020-11-27,1908760.2028878673
2020-11-30,1904669.1856916414
2020-12-01,1915858.391481639
2020-12-02,1917789.9093400221
2020-12-03,1923111.270767293
2020-12-04,1923373.7091533623
2020-12-07,1932226.0327904895
2020-12-08,1936926.8391182357
2020-12-09,1917495.4951029005
2020-12-10,1920620.7235791953
2020-12-11,1921375.6127667055
2020-12-14,1919978.9121626932
2020-12-15,1933071.0572992275
2020-12-16,1936908.9973420624
2020-12-17,1944437.9404699744
2020-12-18,1940233.2550984947
2020-12-21,1937882.6132757885
2020-12-22,1937181.0113137928
2020-12-23,1935828.19875148
2020-12-24,1941556.6601287364
2020-12-28,1947945.6773646455
2020-12-29,1948456.3894221175
2020-12-30,1952167.475184045
2020-12-31,1956892.1770269875
2021-01-04,1948788.6623349634
2021-01-05,1955449.1952535056
2021-01-06,1946124.0908620795
2021-01-07,1961630.6492566676
2021-01-08,1960043.9035689214
2021-01-11,1948998.9466848965
2021-01-12,1949964.9452801927
2021-01-13,1954795.8035406638
2021-01-14,1949422.2671991885
2021-01-15,1940438.077855408
2021-01-19,1952980.4602799856
2021-01-20,1973953.0682242257
2021-01-21,1976792.726735666
2021-01-22,1972411.0265776238
2021-01-25,1980215.9241715772
2021-01-26,1979089.9672216577
2021-01-27,1952617.6893658517
2021-01-28,1958705.7789781287
2021-01-29,1937939.9501474798
2021-02-01,1946739.6744733693
2021-02-02,1941917.1278389122
2021-02-03,1933372.7568374767
2021-02-04,1929030.8446994566
2021-02-05,1925437.734212492
2021-02-08,1932817.0608488796
2021-02-09,1934325.7578246496
2021-02-10,1940614.7934841537
2021-02-11,1935427.7495878579
2021-02-12,1925734.9174699397
2021-02-16,1907495.268034551
2021-02-17,1908656.6242063665
2021-02-18,1904667.8672322072
2021-02-19,1893590.046685969
2021-02-22,1885484.8880821872
2021-02-23,1882800.4160804285
2021-02-24,1879594.2877867466
2021-02-25,1849363.6724883728
2021-02-26,1870513.8348103478
2021-03-01,1883037.784126579
2021-03-02,1877705.2137134122
2021-03-03,1858951.2932991555
2021-03-04,1844928.7790178494
2021-03-05,1856330.599208222
2021-03-08,1843452.788038677
2021-03-09,1865413.7495962915
2021-03-10,1869991.3238223246
2021-03-11,1877107.1510477376
2021-03-12,1867539.8809463084
2021-03-15,1875002.2836885967
2021-03-16,1874468.0591771214
2021-03-17,1875230.9130603457
2021-03-18,1856169.6738701973
2021-03-19,1857742.228440991
2021-03-22,1869034.8207767394
2021-03-23,1867962.661045888
2021-03-24,1864697.8084147954
2021-03-25,1864093.0241297702
2021-03-26,1872592.303807053
2021-03-29,1867105.3056594653
2021-03-30,1863708.108481046
2021-03-31,1868213.7154962728
2021-04-01,1882190.3773878189
2021-04-05,1893577.8386401953
2021-04-06,1896562.5356603067
2021-04-07,1896918.5434686977
2021-04-08,1905325.591000082
2021-04-09,1908794.494426104
2021-04-12,1907624.617046697
2021-04-13,1914990.5875578094
2021-04-14,1909165.4369597225
2021-04-15,1924682.022279893
2021-04-16,1926262.0696692502
2021-04-19,1920223.479728059
2021-04-20,1916044.3536081782
2021-04-21,1925517.6698927423
2021-04-22,1916774.424503995
2021-04-23,1925007.7720017203
2021-04-26,1927352.5548676073
2021-04-27,1923851.1437159637
2021-04-28,1924082.0051983746
2021-04-29,1927634.3044565835
2021-04-30,1922126.685362679
2021-05-03,1925411.5814818968
2021-05-04,1914763.9286175845
2021-05-05,1915475.1328591781
2021-05-06,1927009.7474405416
2021-05-07,1936562.7132577156
2021-05-10,1922636.3216978025
2021-05-11,1915754.5205316395
2021-05-12,1890296.484202856
2021-05-13,1902257.3738959045
2021-05-14,1921209.3448179844
2021-05-17,1920346.1057920787
2021-05-18,1913170.5831261897
2021-05-19,1910939.9205147752
2021-05-20,1925836.3633373007
2021-05-21,1923844.7110697336
2021-05-24,1936123.759928708
2021-05-25,1938246.770916128
2021-05-26,1939934.6360464364
2021-05-27,1938842.6895914262
2021-05-28,1941830.7096752122
2021-06-01,1937859.7804828435
2021-06-02,1941500.1977925065
2021-06-03,1926887.4324788984
2021-06-04,1947159.4488822338
2021-06-07,1949439.342413001
2021-06-08,1949297.9216853862
2021-06-09,1947985.0710554295
