,SPY,QQQ,TLT,IEF,GLD,SHY
2020-06-30,0.037496152494132566,0.3500028901902236,0.11250496207560018,0.14997778605911402,0.3500144150413961,3.7941395336582966e-06
2020-07-31,0.0037496150069890296,0.3500015252185935,0.14625342262936294,0.1499798906034712,0.35001147623547746,4.070306105908608e-06
2020-08-31,0.11628352962757071,0.3500053727408149,0.03371839562453688,0.14998085403399883,0.3500077952245591,4.052748519689652e-06
2020-09-30,0.10630499919297572,0.3176361407225537,0.07605958988376278,0.22013965977477284,0.27985555767741516,4.052748519689652e-06
2020-10-31,0.10630162216820213,0.20510206284972946,0.07606782157450943,0.22014559679261833,0.2798581748062249,0.11252472180871574
2020-11-30,0.20758807882648853,0.20510023963471546,0.07606489288010333,0.22014660286682228,0.16738400517691937,0.12371618061495092
2020-12-31,0.28750404604321644,0.20376478580290397,0.007606489288010334,0.2313469171390894,0.12467786260082395,0.14509989912595594
2021-01-31,0.02875039923801682,0.10252148523934025,0.3676037776312058,0.23134675686109193,0.12467777730420178,0.14509980372614364
2021-02-28,0.2560602587482306,0.10252138870878827,0.13472481945975398,0.23134676311744815,0.06505747203115457,0.2102892979346245
2021-03-31,0.3406055430968403,0.10252132164956161,0.022225883829643484,0.2313466701163055,0.06505722824833814,0.238243353059311
2021-04-30,0.3490620533095603,0.14524807177994492,0.002224779323836284,0.13884717691423984,0.12637431281856568,0.23824360585385293
2021-05-31,0.3490546671459914,0.3477227320314423,0.00022247359348782624,0.013884446903473647,0.12637161492322288,0.16274406540238207
2021-06-30,0.3490549858692151,0.4377313207744895,2.731707072685148e-05,0.001393655006565438,0.12637185401600182,0.08542086726300128
2021-07-31,0.33721264127547934,0.448773132077449,2.7317070726851483e-06,0.00013936550065654383,0.20533004271304242,0.00854208672630013
2021-08-31,0.42610696128336345,0.4498792225882198,2.4732931410762394e-06,1.688247795066082e-05,0.12313914125562544,0.0008553191016994244
2021-09-30,0.4261042459033548,0.4287522217600952,4.4442033437283345e-06,1.554866770287257e-05,0.05424423409834431,0.09087930536715923
2021-10-31,0.4475959281482938,0.44786082417490836,0.049436865143152355,1.2246449904948482e-05,0.04599700319625337,0.009097132887487125
2021-11-30,0.4475959281482938,0.44786082417490836,0.049436865143152355,1.2246449904948482e-05,0.04599700319625337,0.009097132887487125
2021-12-31,0.4475959281482938,0.44786082417490836,0.049436865143152355,1.2246449904948482e-05,0.04599700319625337,0.009097132887487125
2022-01-31,0.0875962904442329,0.44786082058424315,0.40943879533869776,1.0015530845235606e-05,0.04599697484937553,0.009097103252605645
2022-02-28,0.008759625580593754,0.4142019657456536,0.5219363884546847,8.111626680574158e-06,0.04599688585448459,0.009097022737902784
2022-03-31,0.0008759624324956533,0.5266968396948685,0.4255059494430134,7.3612022463683634e-06,0.04599776434696386,0.0009161228804124598
2022-04-30,0.0008759624324956533,0.5266968396948685,0.4255059494430134,7.3612022463683634e-06,0.04599776434696386,0.0009161228804124598
2022-05-31,0.0008759624324956533,0.5266968396948685,0.4255059494430134,7.3612022463683634e-06,0.04599776434696386,0.0009161228804124598
2022-06-30,0.0008759624324956533,0.5266968396948685,0.4255059494430134,7.3612022463683634e-06,0.04599776434696386,0.0009161228804124598
2022-07-31,0.0008759624324956533,0.5266968396948685,0.4255059494430134,7.3612022463683634e-06,0.04599776434696386,0.0009161228804124598
2022-08-31,0.000876222337228715,0.16669641561440143,0.4255052091346335,6.94697337672405e-06,0.045997395184582374,0.3609178107557771
2022-09-30,0.0008739218776532587,0.15374111335690066,0.15577059710901753,0.018940178964892026,0.31959330634413974,0.35108088234739687
2022-10-31,0.000874264469289228,0.13287310318218207,0.06513158466634489,0.10406079624104195,0.3469597532904817,0.3501004981506603
2022-11-30,0.09701182840251152,0.020479539866673054,0.07874903061133756,0.10405991597563728,0.34969593090342965,0.35000375424041086
2022-12-31,0.07631639475635404,0.00204978064334513,0.007876264983705264,0.21377168489534507,0.3499765041279497,0.35000937059330095
2023-01-31,0.4363376003224283,0.002050545845618859,0.0008038817514460983,0.17578536620179983,0.035012185226240784,0.35001042065246607
2023-02-28,0.5488506131699061,0.0020512990905193003,8.314810524926142e-05,0.09549467451227373,0.003509816433572606,0.3500104486884789
2023-03-31,0.2563613089332578,0.12364447270156317,8.43773746603449e-05,0.16686201711740078,0.10303940151442735,0.35000842235869045
2023-04-30,0.1438614369879443,0.19502808966489832,8.199544057627444e-05,0.1863052983917587,0.12471686177918022,0.3500063177356421
2023-05-31,0.03139392443570669,0.27417413823599573,8.080873521852281e-05,0.20321690103591653,0.14113068823969588,0.3500035393174668
2023-06-30,0.14389197747208993,0.2741757882542786,8.216644115462018e-05,0.20321798410780226,0.028628367518446166,0.35000371620622855
2023-07-31,0.25643383534346625,0.36413184550877736,8.235697317629967e-05,0.20321817209524295,0.02862855547904361,0.14750523460029347
2023-08-31,0.33416580280729813,0.37639638185726093,8.222711479793594e-05,0.2032180324881225,0.02862841267502789,0.05750914305749252
2023-09-30,0.34842835280951556,0.622619756752144,8.22250763403993e-06,0.020321299459604855,0.0028627702960188415,0.005759598175082564
2023-10-31,0.34982055166824366,0.6472674245494963,6.58497757828455e-06,0.0020357761255665506,0.00028977153393733735,0.0005798911451778512
2023-11-30,0.3499856762405817,0.6497202596386589,3.523168328870097e-06,0.00020357556094605258,2.8976861368326887e-05,5.7988530116186734e-05
2023-12-31,0.23774255020588944,0.6499693818010813,0.1122413217285782,2.0357365339276564e-05,2.0590100436747492e-05,5.798798674933703e-06
2024-01-31,0.2377427746385835,0.469999156155334,0.08971255698213894,1.4370347811538667e-05,0.202526268805831,4.873070301115745e-06
2024-02-29,0.23774264640192333,0.4520012130711626,0.017712080194713792,1.1640127039624265e-05,0.2925285304195255,3.889785635262018e-06
2024-03-31,0.23774227933749906,0.37793762832801964,0.001774078541086018,9.750515921506197e-06,0.3825329726111879,3.2906662859360117e-06
2024-04-30,0.26703690916533945,0.2895190254249942,0.00018672152694863757,7.311152644248324e-06,0.44324713149479783,2.9012352755709566e-06
2024-05-31,0.17722780850922407,0.3795043813581347,1.867194596727329e-05,5.458820033675412e-06,0.4432417412633323,1.938103307947071e-06
2024-06-30,0.20377896510311858,0.4429429154895665,1.3841968820266694e-05,3.1111602423877433e-06,0.35326093033682965,2.3594142273991857e-07
2024-07-31,0.20377896510311852,0.3529429154895664,0.013328169016165901,3.1111602423877424e-06,0.42994660328948386,2.3594142273991854e-07
2024-08-31,0.29378060685746027,0.28516672899102785,0.0013329273402704679,4.00947209545482e-06,0.4197153778441405,3.494950054527911e-07
2024-09-30,0.26768523318558657,0.28516938881460885,0.0001488938776728894,6.066081951819155e-06,0.44698710676561565,3.3112745641955405e-06
2024-10-31,0.2993575954491382,0.6135095765641346,1.7756115928639522e-05,3.7893411704091334e-06,0.08710882132209648,2.4612075316516014e-06
2024-11-30,0.34490503341534734,0.6463603155253765,7.186019424795584e-06,4.336771873503518e-06,0.00871968860168557,3.439666292421202e-06
2024-12-31,0.3494972173706548,0.6496265354380764,2.8166362938040656e-06,9.446710422883819e-07,0.0008719619794560515,5.239044767047816e-07
2025-01-31,0.3494964305288252,0.5371359667995182,1.1882442983283065e-06,9.44670107701729e-08,0.11336626756995138,5.2390395839299965e-08
2025-02-28,0.3495050724178349,0.42460177550780964,3.781587942707036e-06,3.7324272234308304e-06,0.2258812046139625,4.4334452268617876e-06
2025-03-31,0.34950480417105056,0.31211558992615984,3.195978886323885e-06,3.110514189301538e-06,0.33836966125913864,3.6381505752132475e-06
2025-04-30,0.30181296735227253,0.21434507362192165,2.1106538087070444e-06,2.298975046928517e-06,0.20011066243383066,0.2837268869631194
2025-05-31,0.29704140068642404,0.20457257520040628,1.2413147639929672e-06,1.6481784606177764e-06,0.1862834810472017,0.31209965357274333
2025-06-30,0.297041618806293,0.5645692930873716,1.5456519199327765e-06,1.8676159562201608e-06,0.10717217473642064,0.0312135001020388
2025-07-31,0.33261953899925234,0.6414694560747752,1.8827485477645108e-06,2.13971839630801e-06,0.02278564266501166,0.003121339794016628
2025-08-31,0.33261953899925245,0.53178228210964,1.8827485477645126e-07,2.1397183963080124e-07,0.1352856426650117,0.0003121339794016629
2025-09-30,0.2203947524197015,0.5317775736232825,1.8827334318741722e-08,2.1397012173019913e-08,0.24779642058533025,3.121314733936196e-05
2025-10-31,0.10792914022324311,0.6381583013445681,1.882707111281036e-09,2.1396713043019773e-09,0.2539094331387122,3.1212710979897726e-06
2025-11-30,0.010792897972634028,0.6227986396831198,1.8827043115861652e-10,2.1396681224864202e-10,0.36640593966547336,2.5222765356788627e-06
2025-12-31,0.010799450296818409,0.5102986157604108,2.6840751347315833e-06,3.44577461681128e-06,0.4788898260683464,5.9780246728476e-06
